,Ano,aquisicao,Sede,Actividade,% interesse economico,Metodo de Consolidacao
"Es Tech Ventures, SGPS, SA",2000,2000,Portugal ,Gestao de participacoes sociais,100,Integral
"ES Ventures, Sociedade de Capital de Risco, S.A",2005,2005,Portugal ,Capital de Risco,100,Integral
"Yunit Servicos, SA",2000,2000,Portugal ,Gestao de Portais de Internet,33.3,Eq. Patrimonial
FCR Espirito Santo Inovacao e Internacionalizacao,2011,2011,Portugal ,Fundo de Capital de Risco,50,Eq. Patrimonial
"Fundo Bem Comum, FCR",2011,2011,Portugal ,Fundo de Capital de Risco,20,Eq. Patrimonial
"Espirito Santo Contact Center, Gestao de Call Centers, S.A",2000,2000,Portugal ,Gestao de Call Centers,41.67,Eq. Patrimonial
Fundos de Capital de Risco ES Ventures II,2006,2006,Estados Unidos,Fundo de Capital de Risco,63.9,Integral
Atlantic Ventures Corporation ,2006,2006,Portugal ,Gestao de participacoes sociais,63.9,Integral
"Sousacamp, SGPS, SA ",2007,2007,Portugal ,Gestao de participacoes sociais,24.99,Eq. Patrimonial
"Global Active - SGPS, SA ",2006,2006,Portugal ,Gestao de participacoes sociais,28.54,Eq. Patrimonial
"Outsystems, SA ",2007,2007,Portugal ,Tecnologias da Informacao,18.72,Eq. Patrimonial
"Coreworks - Proj. Circuito Sist. Elect., SA ",2006,2006,Portugal ,Tecnologias da Informacao,20.69,Eq. Patrimonial
Bio-Genesis ,2007,2007,Portugal ,Gestao de participacoes sociais,19.13,Eq. Patrimonial
"YDreams - Informatica, SA ",2000,2009,Brasil,Tecnologias da Informacao,30.67,Eq. Patrimonial
Fundos de Capital de Risco ES Ventures III,2009,2009,Portugal ,Fundo de Capital de Risco,56.43,Integral
Nutrigeen SA,2007,2009,Portugal ,Prestacao de Servicos Diversos,11.29,Eq. Patrimonial
"Advance Ciclone Systems, SA ",2008,2009,Portugal ,Tratamento eliminacao de residuos inertes,22.57,Eq. Patrimonial
"Watson Brown, HSM, Ltd ",1997,2009,Reino Unido,Reciclagem de Borracha,20.26,Eq. Patrimonial
"Domatica, Electronica e Informatica, SA",2002,2011,Portugal ,Tecnologias da Informacao,15.59,Eq. Patrimonial
Fundo FCR PME/Novo Banco,1997,1997,Portugal ,Fundo de Capital de Risco,56.78,Integral
Enkrott SA,2006,2006,Portugal ,Gestao e Tratamento de Aguas,16.07,Eq. Patrimonial
Palexpo - Espaco a sua medida SA,2009,2006,Portugal ,Fabrico de Mobiliario,28.1,Eq. Patrimonial
Otherlog SA,2014,2006,Portugal ,Logistica,21.86,Eq. Patrimonial
"Epedal, SGPS SA",2007,2015,Portugal ,Gestao de participacoes sociais,12.22,Eq. Patrimonial
"Attentionfocus, Lda",2014,2015,Portugal ,Exploracao de Espacos Energeticos,18.92,Eq. Patrimonial
Nexxxpro - Fabrica de Capacetes SA,2001,2015,Portugal ,Fabrico de Capacetes,33.83,Eq. Patrimonial
