Financial engineering instrument (name and registered place of business),16132 - FCR Portugal Ventures Internacionalizacao - Lisboa,16133 - FCR Beta Ciencias da Vida - Maia ,16134 - FCR ASK Celta - Lisboa ,16135 - FCR Capital Criativo I - Lisboa,16136 - FCR NB Ventures Inovacao e Internacionalizacao - Lisboa ,16137 - FCR Portugal Ventures Industrias Criativas - Lisboa ,16140 - FCR Portugal Ventures Early Stages - Lisboa ,16141 - FCR Minho e Internacionalizacao - Braga ,16142 - FCR Novabase Capital Inovacao & Internacionalizacao - Lisboa,16144 - FCR PME Turismo Inovacao - Lisboa,16145 - FCR PME/Novo Banco - Lisboa,16146 - FCR Critical Ventures I - Coimbra,16147 - FCR Portugal Ventures Biocant - Lisboa,16149 - FCR ASK Capital - Lisboa ,16152 - FCR Portugal Ventures Universitas - Lisboa ,16154 - FCR Portugal Ventures Acelerador de Comercializacao de Tecnologia II - Lisboa ,16155 - FCR Istart I - Lisboa ,16159 - FCR Fast Change II - Porto,16156 - LINHA DE FINANCIAMENTO A INVESTIDORES EM CAPITAL DE RISCO (BUSINESS ANGELS) S DESENVOLVIDAS POR BUSINESS ANGELS,40764 - LINHA DE FINANCIAMENTO A OPERAcoES DESENVOLVIDAS POR BUSINESS ANGELS
"Attributable to Article 44, first paragraph (a), (b) or (c) of Council Regulation (EC) No 1083/2006)?",,,,,,,,,,,,,,,,,,,,
(a) financial engineering instruments for enterprises,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,,x,x
Type of financial product offered by the financial engineering instrument to the final recipient,,,,,,,,,,,,,,,,,,,,
equity,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,,x,x
Financial engineering instrument manager (name and registered place of business),"Portugal Capital Ventures – Sociedade de Capital de Risco, S.A - Lisboa ",Beta Sociedade de Capital de Risco S.A - Maia,"ISQ - Sociedade de Capital de Risco, S.A - Lisboa","Capital Criativo SCR, SA - Lisboa","Novo Banco Capital - Soc.Capital Risco, S.A - Lisboa","Portugal Capital Ventures – Sociedade de Capital de Risco, S.A - Lisboa","Portugal Capital Ventures – Sociedade de Capital de Risco, S.A - Lisboa","2B Partner - Soc Capital de Risco, S.A - Braga","Novabase Capital - Sociedade de Capital de Risco, S.A. - Lisboa","Portugal Capital Ventures – Sociedade de Capital de Risco, S.A - Lisboa","Novo Banco Capital - Soc.Capital Risco, S.A - Lisboa","Critical Ventures - Soc.Capital Risco, SA - Coimbra","Portugal Capital Ventures – Sociedade de Capital de Risco, S.A - Lisboa","ISQ - Sociedade de Capital de Risco, S.A - Lisboa","Portugal Capital Ventures – Sociedade de Capital de Risco, S.A - Lisboa","Portugal Capital Ventures – Sociedade de Capital de Risco, S.A - Lisboa","Espirito Santo Capital - Soc.Capital Risco, S.A - Lisboa","Change Partners SCR,SA - Porto",Diversas Entidades Veiculo (sociedades de Business Angels),Diversas Entidades Veiculo (sociedades de Business Angels)
III. Operational Programme contributions paid to the financial engineering instrument (Article 67(2)(j)(iii) of Council Regulation (EC) No 1083/2006),,,,,,,,,,,,,,,,,,,,
ERDF amounts of assistance committed in the funding agreement with Managing Authority (in EUR),7289000,1776000,10076000,10147000,5062000,3037000,4399000,2020000,5067000,3056000,5056000,2531000,2024000,4497000,2667000,4555000,1071000,4270000,24660000,10168000
ERDF amounts of assistance paid to the holding fund (in EUR),3032356.2,888000,3022101.15,10077000,5029770.98,3021430.45,2630743.07,1248122.15,5035000,3022101.15,2465948.9,1913519.4,1609220.2,1511050.5,1566906.13,1363951.2,1071000,1911928.5,19728000,10099134.54
ESF amounts of assistance committed in the funding agreement with Managing Authority (in EUR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESF amounts of assistance paid to the holding fund (in EUR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
