Entidade detentora das participacoes,Tipo,Denominacoes,% Participacao/ interesse economico,Custo de Aquisicao,Ano aquisicao,Capital Social/Moeda,Accoes/Quotas (Total Entidade),N  de Accoes/Quotas detidas,Transaccoes,Emprestimos,Outros,Ano referencia,Entidade,Doc
BGI SA,Sociedade,Around Knowledge,14.29,2796,,,,,,,,2014,ISCTE,"Participacoes - ISCTE, BGI SA 2014"
BGI SA,Sociedade,Changing Experience,5.88,671,,,,,,,,2014,ISCTE,"Participacoes - ISCTE, BGI SA 2015"
BGI SA,Sociedade,Waydip,1,100,,,,,,,,2014,ISCTE,"Participacoes - ISCTE, BGI SA 2016"
BGI SA,Sociedade,IS Green II,1,100,,,,,,,,2014,ISCTE,"Participacoes - ISCTE, BGI SA 2017"
BGI SA,Sociedade,Weadapt,0.18,100,,,,,,,,2014,ISCTE,"Participacoes - ISCTE, BGI SA 2018"
BGI SA,Sociedade,All Desk,1.67,100,,,,,,,,2014,ISCTE,"Participacoes - ISCTE, BGI SA 2019"
BGI SA,Sociedade,D-Orbit,2,5000,,,,,,,,2014,ISCTE,"Participacoes - ISCTE, BGI SA 2020"
BGI SA,Sociedade,Watgrid,1.96,5000,,,,,,,,2014,ISCTE,"Participacoes - ISCTE, BGI SA 2021"
BGI SA,Sociedade,Magic Stone,2,5000,,,,,,,,2014,ISCTE,"Participacoes - ISCTE, BGI SA 2022"
BGI SA,Sociedade,Veniam Works,nd,70,,,,,,,,2014,ISCTE,"Participacoes - ISCTE, BGI SA 2022"
BGI SA,Sociedade,Around Knowledge,nd,2510,,,,,,,,2015,ISCTE,"Participacoes - ISCTE, BGI SA 2016"
CGD,Sociedade,Changing Experience,nd,352,,,,,,,,2015,ISCTE,"Participacoes - ISCTE, BGI SA 2017"
BGI SA,Sociedade,Waydip,1,100,,,,,,,,2015,ISCTE,"Participacoes - ISCTE, BGI SA 2018"
BGI SA,Sociedade,IS Green II,1,100,,,,,,,,2015,ISCTE,"Participacoes - ISCTE, BGI SA 2019"
BGI SA,Sociedade,Weadapt,0.18,100,,,,,,,,2015,ISCTE,"Participacoes - ISCTE, BGI SA 2020"
BGI SA,Sociedade,All Desk,1.67,100,,,,,,,,2015,ISCTE,"Participacoes - ISCTE, BGI SA 2021"
BGI SA,Sociedade,D-Orbit,nd,5000,,,,,,,,2015,ISCTE,"Participacoes - ISCTE, BGI SA 2022"
BGI SA,Sociedade,Watgrid,nd,5000,,,,,,,,2015,ISCTE,"Participacoes - ISCTE, BGI SA 2023"
BGI SA,Sociedade,Magic Stone,nd,5000,,,,,,,,2015,ISCTE,"Participacoes - ISCTE, BGI SA 2024"
BGI SA,Sociedade,Veniam Works,nd,190100,,,,,,,,2015,ISCTE,"Participacoes - ISCTE, BGI SA 2025"
Universidade do Porto,Sociedade,"BERD – Projecto, Investigacao e Engenharia de Pontes, S.A",0.0004,3.613,2014,,,,,,,2015,Universidade do Porto,Participacoes - UP 2015
