,,Commitment,Called commitment,Uncalled Commitment
Class A,,15000000,9209077,5790923
Banco Europeu de Investimento,,na,na,na
Class B,,85000000,52184752,32815248
Fundo de Sindicacao de Capital de Risco,,na,na,na
"Direccao Geral do Tesouro, Ministerio das Financas",,na,na,na
Bankinter SA,,na,na,na
Banco BPI,,na,na,na
Novo Banco,,na,na,na
Millenium BCP Participacoes,,na,na,na
Montepio Geral - Associacao Mutualista,,na,na,na
Caixagest,,na,na,na
Class C,,11330000,6955920,4101906
Unknown,,111330000,68349749,42708077
